,no_overall,season,no_in_season,episode_name,viewers (millions),IMDB rating,year,month,day,wiki_link
0,1,1,1,Simpsons Roasting on an Open Fire,26.7,8.2,1989,12,17,Simpsons_Roasting_on_an_Open_Fire
1,2,1,2,Bart the Genius,24.5,7.7,1990,01,14,Bart_the_Genius
2,3,1,3,Homer's Odyssey,27.5,7.4,1990,01,21,Homer%27s_Odyssey
3,4,1,4,There's No Disgrace Like Home,20.2,7.7,1990,01,28,There%27s_No_Disgrace_Like_Home
4,5,1,5,Bart the General,27.1,8.0,1990,02,04,Bart_the_General
5,6,1,6,Moaning Lisa,27.4,7.6,1990,02,11,Moaning_Lisa
6,7,1,7,The Call of the Simpsons,27.6,7.8,1990,02,18,The_Call_of_the_Simpsons
7,8,1,8,The Telltale Head,28.0,7.7,1990,02,25,The_Telltale_Head
8,9,1,9,Life on the Fast Lane,33.5,7.5,1990,03,18,Life_on_the_Fast_Lane
9,10,1,10,Homer's Night Out,30.3,7.4,1990,03,25,Homer%27s_Night_Out
10,11,1,11,The Crepes of Wrath,31.2,7.8,1990,04,15,The_Crepes_of_Wrath
11,12,1,12,Krusty Gets Busted,30.4,8.4,1990,04,29,Krusty_Gets_Busted
12,13,1,13,Some Enchanted Evening,27.1,7.8,1990,05,13,Some_Enchanted_Evening
13,14,2,1,"Bart Gets an ""F""",33.6,8.2,1990,10,11,Bart_Gets_an_%22F%22
14,15,2,2,Simpson and Delilah,29.9,8.2,1990,10,18,Simpson_and_Delilah
15,16,2,3,Treehouse of Horror,27.4,8.3,1990,10,25,Treehouse_of_Horror
16,17,2,4,Two Cars in Every Garage and Three Eyes on Every Fish,26.1,8.1,1990,11,01,Two_Cars_in_Every_Garage_and_Three_Eyes_on_Every_Fish
17,18,2,5,Dancin' Homer,26.1,7.5,1990,11,08,Dancin%27_Homer
18,19,2,6,Dead Putting Society,25.4,8.0,1990,11,15,Dead_Putting_Society
19,20,2,7,Bart vs. Thanksgiving,25.9,7.8,1990,11,22,Bart_vs._Thanksgiving
20,21,2,8,Bart the Daredevil,26.2,8.4,1990,12,06,Bart_the_Daredevil
21,22,2,9,Itchy & Scratchy & Marge,22.2,8.1,1990,12,20,Itchy_%26_Scratchy_%26_Marge
22,23,2,10,Bart Gets Hit by a Car,24.8,7.8,1991,01,10,Bart_Gets_Hit_by_a_Car
23,24,2,11,"One Fish, Two Fish, Blowfish, Blue Fish",24.2,8.8,1991,01,24,"One_Fish,_Two_Fish,_Blowfish,_Blue_Fish"
24,25,2,12,The Way We Was,26.8,8.3,1991,01,31,The_Way_We_Was
25,26,2,13,Homer vs. Lisa and the 8th Commandment,26.2,8.0,1991,02,07,Homer_vs._Lisa_and_the_8th_Commandment
26,27,2,14,Principal Charming,23.9,7.5,1991,02,14,Principal_Charming
27,28,2,15,"Oh Brother, Where Art Thou?",26.8,8.3,1991,02,21,"Oh_Brother,_Where_Art_Thou%3F"
28,29,2,16,"Bart's Dog Gets an ""F""",23.9,7.5,1991,03,07,Bart%27s_Dog_Gets_an_F
29,30,2,17,Old Money,21.2,7.6,1991,03,28,Old_Money
30,31,2,18,Brush with Greatness,20.6,8.0,1991,04,11,Brush_with_Greatness
31,32,2,19,Lisa's Substitute,17.7,8.5,1991,04,25,Lisa%27s_Substitute
32,33,2,20,The War of the Simpsons,19.7,7.9,1991,05,02,The_War_of_the_Simpsons
33,34,2,21,Three Men and a Comic Book,21.0,8.3,1991,05,09,Three_Men_and_a_Comic_Book
34,35,2,22,Blood Feud,17.3,7.9,1991,07,11,Blood_Feud
35,36,3,1,Stark Raving Dad,22.9,8.6,1991,09,19,Stark_Raving_Dad
36,37,3,2,Mr. Lisa Goes to Washington,20.2,7.8,1991,09,26,Mr._Lisa_Goes_to_Washington
37,38,3,3,When Flanders Failed,22.8,8.2,1991,10,03,When_Flanders_Failed
38,39,3,4,Bart the Murderer,20.8,8.6,1991,10,10,Bart_the_Murderer
39,40,3,5,Homer Defined,20.6,8.5,1991,10,17,Homer_Defined
40,41,3,6,"Like Father, Like Clown",20.2,7.7,1991,10,24,"Like_Father,_Like_Clown"
41,42,3,7,Treehouse of Horror II,20.0,8.3,1991,10,31,Treehouse_of_Horror_II
42,43,3,8,Lisa's Pony,23.0,7.9,1991,11,07,Lisa%27s_Pony
43,44,3,9,Saturdays of Thunder,24.7,7.9,1991,11,14,Saturdays_of_Thunder
44,45,3,10,Flaming Moe's,23.9,8.8,1991,11,21,Flaming_Moe%27s
45,46,3,11,Burns Verkaufen der Kraftwerk,21.1,8.3,1991,12,05,Burns_Verkaufen_der_Kraftwerk
46,47,3,12,I Married Marge,21.9,8.3,1991,12,26,I_Married_Marge
47,48,3,13,Radio Bart,24.2,8.5,1992,01,09,Radio_Bart
48,49,3,14,Lisa the Greek,23.2,8.0,1992,01,23,Lisa_the_Greek
49,50,3,15,Homer Alone,23.7,8.1,1992,02,06,Homer_Alone
50,51,3,16,Bart the Lover,20.5,8.3,1992,02,13,Bart_the_Lover
51,52,3,17,Homer at the Bat,24.6,8.7,1992,02,20,Homer_at_the_Bat
52,53,3,18,Separate Vocations,23.7,8.2,1992,02,27,Separate_Vocations
53,54,3,19,Dog of Death,23.4,7.8,1992,03,12,Dog_of_Death
54,55,3,20,Colonel Homer,25.5,8.0,1992,03,26,Colonel_Homer
55,56,3,21,Black Widower,17.3,8.3,1992,04,09,Black_Widower
56,57,3,22,The Otto Show,17.5,7.7,1992,04,23,The_Otto_Show
57,58,3,23,Bart's Friend Falls in Love,19.5,7.8,1992,05,07,Bart%27s_Friend_Falls_in_Love
58,59,3,24,"Brother, Can You Spare Two Dimes?",17.2,8.3,1992,08,27,"Brother,_Can_You_Spare_Two_Dimes%3F"
59,60,4,1,Kamp Krusty,21.8,8.5,1992,09,24,Kamp_Krusty
60,61,4,2,A Streetcar Named Marge,18.3,8.2,1992,10,01,A_Streetcar_Named_Marge
61,62,4,3,Homer the Heretic,19.3,9.0,1992,10,08,Homer_the_Heretic
62,63,4,4,Lisa the Beauty Queen,19.0,7.8,1992,10,15,Lisa_the_Beauty_Queen
63,64,4,5,Treehouse of Horror III,25.1,8.5,1992,10,29,Treehouse_of_Horror_III
64,65,4,6,Itchy & Scratchy: The Movie,20.1,8.2,1992,11,03,Itchy_%26_Scratchy:_The_Movie
65,66,4,7,Marge Gets a Job,22.9,7.8,1992,11,05,Marge_Gets_a_Job
66,67,4,8,New Kid on the Block,23.1,8.2,1992,11,12,New_Kid_on_the_Block
67,68,4,9,Mr. Plow,24.0,8.9,1992,11,19,Mr._Plow
68,69,4,10,Lisa's First Word,28.6,8.7,1992,12,03,Lisa%27s_First_Word
69,70,4,11,Homer's Triple Bypass,23.6,8.7,1992,12,17,Homer%27s_Triple_Bypass
70,71,4,12,Marge vs. the Monorail,23.0,9.1,1993,01,14,Marge_vs._the_Monorail
71,72,4,13,Selma's Choice,24.5,8.0,1993,01,21,Selma%27s_Choice
72,73,4,14,Brother from the Same Planet,23.8,8.2,1993,02,04,Brother_from_the_Same_Planet
73,74,4,15,I Love Lisa,25.2,8.4,1993,02,11,I_Love_Lisa
74,75,4,16,Duffless,25.7,8.4,1993,02,18,Duffless
75,76,4,17,Last Exit to Springfield,22.4,9.1,1993,03,11,Last_Exit_to_Springfield
76,77,4,18,So It's Come to This: A Simpsons Clip Show,25.5,7.1,1993,04,01,So_It%27s_Come_to_This:_A_Simpsons_Clip_Show
77,78,4,19,The Front,20.1,8.1,1993,04,15,The_Front
78,79,4,20,Whacking Day,20.0,8.1,1993,04,29,Whacking_Day
79,80,4,21,Marge in Chains,17.3,7.7,1993,05,06,Marge_in_Chains
80,81,4,22,Krusty Gets Kancelled,19.4,8.2,1993,05,13,Krusty_Gets_Kancelled
81,82,5,1,Homer's Barbershop Quartet,19.9,8.5,1993,09,30,Homer%27s_Barbershop_Quartet
82,83,5,2,Cape Feare,20.0,9.2,1993,10,07,Cape_Feare
83,84,5,3,Homer Goes to College,18.1,8.6,1993,10,14,Homer_Goes_to_College
84,85,5,4,Rosebud,19.5,8.9,1993,10,21,Rosebud
85,86,5,5,Treehouse of Horror IV,24.0,8.8,1993,10,28,Treehouse_of_Horror_IV
86,87,5,6,Marge on the Lam,21.7,8.1,1993,11,04,Marge_on_the_Lam
87,88,5,7,Bart's Inner Child,18.7,7.7,1993,11,11,Bart%27s_Inner_Child
88,89,5,8,Boy-Scoutz 'n the Hood,20.1,8.7,1993,11,18,Boy-Scoutz_%27n_the_Hood
89,90,5,9,The Last Temptation of Homer,20.6,8.5,1993,12,09,The_Last_Temptation_of_Homer
90,91,5,10,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",17.9,8.6,1993,12,16,"$pringfield_(Or,_How_I_Learned_to_Stop_Worrying_and_Love_Legalized_Gambling)"
91,92,5,11,Homer the Vigilante,20.1,8.3,1994,01,06,Homer_the_Vigilante
92,93,5,12,Bart Gets Famous,20.0,8.2,1994,02,03,Bart_Gets_Famous
93,94,5,13,Homer and Apu,21.8,8.3,1994,02,10,Homer_and_Apu
94,95,5,14,Lisa vs. Malibu Stacy,20.5,8.2,1994,02,17,Lisa_vs._Malibu_Stacy
95,96,5,15,Deep Space Homer,18.2,8.9,1994,02,24,Deep_Space_Homer
96,97,5,16,Homer Loves Flanders,18.0,8.5,1994,03,17,Homer_Loves_Flanders
97,98,5,17,Bart Gets an Elephant,17.0,7.9,1994,03,31,Bart_Gets_an_Elephant
98,99,5,18,Burns' Heir,14.7,8.4,1994,04,14,Burns%27_Heir
99,100,5,19,Sweet Seymour Skinner's Baadasssss Song,19.7,8.4,1994,04,28,Sweet_Seymour_Skinner%27s_Baadasssss_Song
