id,title
10,Homer's Night Out
12,Krusty Gets Busted
14,"Bart Gets an ""F"""
17,Two Cars in Every Garage and Three Eyes on Every Fish
19,Dead Putting Society
21,Bart the Daredevil
23,Bart Gets Hit by a Car
26,Homer vs. Lisa and the 8th Commandment
28,"Oh Brother, Where Art Thou?"
30,Old Money
32,Lisa's Substitute
35,Blood Feud
37,Mr. Lisa Goes to Washington
39,Bart the Murderer
41,"Like Father, Like Clown"
44,Saturdays of Thunder
46,Burns Verkaufen der Kraftwerk
48,Radio Bart
51,Bart the Lover
53,Separate Vocations
55,Colonel Homer
58,Bart's Friend Falls in Love
60,Kamp Krusty
65,Itchy & Scratchy: The Movie
69,Lisa's First Word
72,Selma's Choice
7,The Call of the Simpsons
24,"One Fish, Two Fish, Blowfish, Blue Fish"
80,Marge in Chains
82,Homer's Barbershop Quartet
84,Homer Goes to College
168,Homer's Phobia
171,Homer vs. the Eighteenth Amendment
173,The Canine Mutiny
175,In Marge We Trust
178,The Secret War of Lisa Simpson
180,The Principal and the Pauper
184,Bart Star
186,Lisa the Skeptic
189,"All Singing, All Dancing"
191,The Joy of Sect
196,This Little Wiggy
198,The Trouble with Trillions
200,Trash of the Titans
203,Natural Born Kissers
205,The Wizard of Evergreen Terrace
207,Treehouse of Horror IX
212,Mayored to the Mob
214,Wild Barts Can't Be Broken
219,Make Room for Lisa
222,Mom and Pop Art
224,Monty Can't Buy Me Love
226,Thirty Minutes over Tokyo
229,Guess Who's Coming to Criticize Dinner?
231,E-I-E-I-(Annoyed Grunt)
233,Eight Misbehavin'
238,The Mansion Family
240,"Alone Again, Natura-diddily"
242,Pygmoelian
245,Kill the Alligator and Run
247,"It's a Mad, Mad, Mad, Mad Marge"
249,Treehouse of Horror XI
251,Insane Clown Poppy
254,The Computer Wore Menace Shoes
258,Pokey Mom
261,Day of the Jackanapes
263,"Hungry, Hungry Homer"
265,Simpson Safari
268,Children of a Lesser Clod
270,Treehouse of Horror XII
272,Homer the Moe
274,The Blunder Years
279,Half-Decent Proposal
281,The Lastest Gun in the West
284,Blame It on Lisa
286,Gump Roast
70,Homer's Triple Bypass
294,Bart vs. Lisa vs. the Third Grade
297,The Great Louse Detective
299,The Dad Who Knew Too Little
301,Pray Anything
306,C.E.D'oh
308,Three Gays of the Condo
311,"Brake My Wife, Please"
313,Moe Baby Blues
315,My Mother the Carjacker
318,The Fat and the Furriest
320,'Tis the Fifteenth Season
322,"I, (Annoyed Grunt)-bot"
326,Smart & Smarter
328,Co-Dependents' Day
331,Catch 'Em If You Can
333,The Way We Weren't
335,Fraudcast News
338,Sleeping with the Enemy
568,Sky Police
553,Clown in the Dumps
555,Super Franchise Me
586,Much Apu About Something
561,I Won't Be Home for Christmas
556,Treehouse of Horror XXV
566,My Fare Lady
591,The Burns Cage
574,Mathlete's Feat
589,Lisa the Veterinarian
582,Paths of Glory
577,Puffless
31,Brush with Greatness
45,Flaming Moe's
5,Bart the General
59,"Brother, Can You Spare Two Dimes?"
62,Homer the Heretic
83,Cape Feare
88,Bart's Inner Child
96,Deep Space Homer
100,Sweet Seymour Skinner's Baadasssss Song
101,The Boy Who Knew Too Much
109,Treehouse of Horror V
128,Who Shot Mr. Burns? (Part One)
155,You Only Move Twice
162,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer)
176,Homer's Enemy
182,Treehouse of Horror VIII
185,The Two Mrs. Nahasapeemapetilons
209,D'oh-in' in the Wind
256,Skinner's Sense of Snow
257,HOMR
266,Trilogy of Error
291,Poppa's Got a Brand New Badge
292,Treehouse of Horror XIII
495,Holidays of Future Passed
558,Simpsorama
578,Halloween of Horror
594,To Courier with Love
3,Homer's Odyssey
235,Grift of the Magi
250,A Tale of Two Springfields
253,Homer vs. Dignity
282,The Old Man and the Key
307,'Scuse Me While I Miss the Sky
324,Margical History Tour
348,Mobile Homer
351,Don't Fear the Roofer
369,The Seemingly Never-Ending Story
371,"Homer Simpson, This Is Your Wife"
374,The Wettest Stories Ever Told
403,Midnight Towboy
426,Homer and Lisa Exchange Cross Words
441,Coming to Homerica
445,Treehouse of Horror XX
458,American History X-cellent
460,The Squirt and the Whale
468,Treehouse of Horror XXI
493,The Man in the Blue Flannel Pants
524,Dark Knight Court
529,The Saga of Carl
546,You Don't Have to Live Like a Referee
567,The Princess Guide
592,How Lisa Got Her Marge Back
596,Orange Is the New Yellow
597,Monty Burns' Fleeing Circus
262,New Kids on the Blecch
277,Sweets and Sour Marge
290,The Frying Game
303,I'm Spelling As Fast As I Can
304,A Star Is Born-Again
317,The Regina Monologues
356,"The Father, the Son, and the Holy Guest Star"
361,Marge's Son Poisoning
373,"Kiss Kiss, Bang Bangalore"
380,Jazzy and the Pussycats
401,He Loves to Fly and He D'ohs
404,I Don't Wanna Know Why the Caged Bird Sings
409,Eternal Moonshine of the Simpson Mind
429,Lisa the Drama Queen
431,How the Test Was Won
434,In the Name of the Grandfather
435,Wedding for Disaster
486,The Ned-Liest Catch
500,At Long Last Leave
502,How I Wet Your Mother
511,Adventures in Baby-Getting
542,Diggs
548,Days of Future Future
87,Marge on the Lam
89,Boy-Scoutz 'n the Hood
92,Homer the Vigilante
93,Bart Gets Famous
95,Lisa vs. Malibu Stacy
98,Bart Gets an Elephant
102,Lady Bouvier's Lover
104,Bart of Darkness
107,Itchy & Scratchy Land
111,Lisa on Ice
114,Fear of Flying
116,And Maggie Makes Three
118,Homie the Clown
120,Homer vs. Patty and Selma
123,Two Dozen and One Greyhounds
125,'Round Springfield
127,Lemon of Troy
130,Radioactive Man
132,Bart Sells His Soul
134,Treehouse of Horror VI
139,Marge Be Not Proud
140,Team Homer
143,Bart the Fink
67,New Kid on the Block
149,22 Short Films About Springfield
151,Much Apu About Nothing
153,Summer of 4 Ft. 2
157,"Burns, Baby Burns"
160,Lisa's Date with Density
163,The Springfield Files
164,The Twisted World of Marge Simpson
167,The Itchy & Scratchy & Poochie Show
340,Fat Man and Little Boy
342,Mommie Beerest
345,There's Something About Marrying
347,Goo Goo Gai Pan
349,The Seven-Beer Snitch
352,The Heartbroke Kid
354,Thank God It's Doomsday
357,The Bonfire of the Manatees
75,Duffless
363,The Last of the Red Hat Mamas
365,Simpsons Christmas Stories
368,My Fair Laddy
370,Bart Has Two Mommies
372,Million-Dollar Abie
376,Regarding Margie
379,"The Mook, the Chef, the Wife and Her Homer"
381,"Please Homer, Don't Hammer 'Em"
383,G.I. (Annoyed Grunt)
385,Ice Cream of Margie (with the Light Blue Hair)
387,"Kill Gil, Volumes I & II"
390,Little Big Girl
392,Yokel Chords
394,Homerazzi
397,Crook and Ladder
399,24 Minutes
402,The Homer of Seville
406,Little Orphan Millie
408,Funeral for a Fiend
410,E Pluribus Wiggum
413,The Debarted
415,Smoke on the Daughter
417,Apocalypse Cow
419,Mona Leaves-a
422,Lost Verizon
424,Treehouse of Horror XIX
77,So It's Come to This: A Simpsons Clip Show
433,Gone Maggie Gone
438,Father Knows Worst
440,Four Great Women and a Manicure
442,Homer the Whopper
448,Rednecks and Broomsticks
450,Thursdays with Abie
452,Million Dollar Maybe
455,Postcards from the Wedge
457,The Greatest Story Ever D'ohed
462,Moe Letter Blues
464,Judge Me Tender
466,Loan-a Lisa
469,"Lisa Simpson, This Isn't Your Life"
472,The Fight Before Christmas
473,Donnie Fatso
476,Homer the Father
478,Angry Dad: The Movie
480,A Midsummer's Nice Dream
482,The Great Simpsina
485,500 Keys
487,The Falcon and the D'ohman
489,Treehouse of Horror XXII
491,The Food Wife
494,The Ten-Per-Cent Solution
496,"Politically Inept, with Homer Simpson"
498,Moe Goes from Rags to Riches
447,Pranks and Greens
91,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)"
504,Beware My Cheating Bart
506,The Spy Who Learned Me
508,Lisa Goes Gaga
513,Penny-Wiseguys
516,To Cur with Love
518,A Test Before Trying
520,Love is a Many-Splintered Thing
522,Gorgeous Grampa
525,What Animated Women Want
527,Whiskey Business
531,Homerland
534,YOLO
536,The Kid Is All Right
538,White Christmas Blues
541,Specs and the City
543,The Man Who Grew Too Much
545,The War of Art
547,Luca$
550,Brick Like Me
552,The Yellow Badge of Cowardge
554,The Wreck of the Relationship
557,Opposites A-Frack
559,Blazed and Confused
562,The Man Who Came to Be Dinner
564,The Musk Who Fell to Earth
570,Peeping Mom
9,Life on the Fast Lane
11,The Crepes of Wrath
13,Some Enchanted Evening
15,Simpson and Delilah
16,Treehouse of Horror
18,Dancin' Homer
20,Bart vs. Thanksgiving
22,Itchy & Scratchy & Marge
25,The Way We Was
27,Principal Charming
29,"Bart's Dog Gets an ""F"""
33,The War of the Simpsons
573,Bull-E
576,Cue Detective
580,Friend with Benefit
583,Barthood
585,Teenage Mutant Milk-Caused Hurdles
598,"Friends and Family""[203]"
599,"The Town""[205]"
600,"Treehouse of Horror XXVII""[207]"
588,Gal of Constant Sorrow
590,The Marge-ian Chronicles
593,Fland Canyon
595,Simprovised
1,Simpsons Roasting on an Open Fire
2,Bart the Genius
4,There's No Disgrace Like Home
6,Moaning Lisa
8,The Telltale Head
34,Three Men and a Comic Book
36,Stark Raving Dad
38,When Flanders Failed
40,Homer Defined
78,The Front
73,Brother from the Same Planet
86,Treehouse of Horror IV
71,Marge vs. the Monorail
74,I Love Lisa
90,The Last Temptation of Homer
54,Dog of Death
42,Treehouse of Horror II
43,Lisa's Pony
66,Marge Gets a Job
47,I Married Marge
76,Last Exit to Springfield
49,Lisa the Greek
57,The Otto Show
85,Rosebud
50,Homer Alone
52,Homer at the Bat
79,Whacking Day
63,Lisa the Beauty Queen
81,Krusty Gets Kancelled
56,Black Widower
61,A Streetcar Named Marge
64,Treehouse of Horror III
68,Mr. Plow
94,Homer and Apu
97,Homer Loves Flanders
99,Burns' Heir
137,Sideshow Bob's Last Gleaming
113,Grampa vs. Sexual Inadequacy
147,A Fish Called Selma
117,Bart's Comet
131,Home Sweet Homediddly-Dum-Doodily
142,Scenes from the Class Struggle in Springfield
119,Bart vs. Australia
135,King-Size Homer
103,Secrets of a Successful Marriage
105,Lisa's Rival
121,A Star Is Burns
122,Lisa's Wedding
106,Another Simpsons Clip Show
133,Lisa the Vegetarian
124,The PTA Disbands
108,Sideshow Bob Roberts
110,Bart's Girlfriend
129,Who Shot Mr. Burns? (Part Two)
126,The Springfield Connection
145,Homer the Smithers
112,Homer Badman
115,Homer the Great
138,The Simpsons 138th Episode Spectacular
141,Two Bad Neighbors
144,Lisa the Iconoclast
136,Mother Simpson
150,"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish"""
152,Homerpalooza
181,Lisa's Sax
166,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious
154,Treehouse of Horror VII
